prefecture,municipality,url,system_type,kaigiroku_tenant
北海道,北海道議会,http://www01.gikai.pref.hokkaido.jp/voices/index.html,other,
北海道,札幌市議会,http://sapporo.gijiroku.com/voices/g07v_search.asp,gijiroku_com,
北海道,室蘭市議会,https://ssp.kaigiroku.net/tenant/muroran/MinuteSearch.html,kaigiroku_ssp,muroran
北海道,室蘭市議会,https://ssp.kaigiroku.net/tenant/muroran/SpMinuteSearch.html,kaigiroku_ssp,muroran
北海道,岩見沢市議会,https://gikai.city.iwamizawa.hokkaido.jp/giziroku/,other,
北海道,苫小牧市議会,https://ssp.kaigiroku.net/tenant/tomakomai/SpMinuteSearch.html,kaigiroku_ssp,tomakomai
北海道,芦別市議会,https://ssp.kaigiroku.net/tenant/ashibetsu/SpMinuteSearch.html,kaigiroku_ssp,ashibetsu
北海道,江別市議会,https://www.city.ebetsu.hokkaido.jp/site/gijiroku1/,other,
北海道,千歳市議会,https://ssp.kaigiroku.net/tenant/chitose/MinuteSearch.html,kaigiroku_ssp,chitose
北海道,千歳市議会,https://ssp.kaigiroku.net/tenant/chitose/SpMinuteSearch.html,kaigiroku_ssp,chitose
北海道,深川市議会,http://fukagawa.gijiroku.com/voices/g08v_search.asp,gijiroku_com,
北海道,登別市議会,https://ssp.kaigiroku.net/tenant/noboribetsu/MinuteSearch.html,kaigiroku_ssp,noboribetsu
北海道,登別市議会,https://ssp.kaigiroku.net/tenant/noboribetsu/SpMinuteSearch.html,kaigiroku_ssp,noboribetsu
北海道,恵庭市議会,https://ssp.kaigiroku.net/tenant/eniwa/MinuteSearch.html,kaigiroku_ssp,eniwa
北海道,恵庭市議会,https://ssp.kaigiroku.net/tenant/eniwa/SpMinuteSearch.html,kaigiroku_ssp,eniwa
北海道,伊達市議会,https://ssp.kaigiroku.net/tenant/date/SpMinuteSearch.html,kaigiroku_ssp,date
北海道,北広島市議会,https://ssp.kaigiroku.net/tenant/kitahiroshima/MinuteSearch.html,kaigiroku_ssp,kitahiroshima
北海道,北広島市議会,https://ssp.kaigiroku.net/tenant/kitahiroshima/SpMinuteSearch.html,kaigiroku_ssp,kitahiroshima
北海道,石狩市議会,https://ssp.kaigiroku.net/tenant/ishikari/SpMinuteSearch.html,kaigiroku_ssp,ishikari
北海道,厚真町議会,https://ssp.kaigiroku.net/tenant/atsuma/SpMinuteSearch.html,kaigiroku_ssp,atsuma
北海道,日高町議会,https://ssp.kaigiroku.net/tenant/hidakahokkaido/MinuteSearch.html,kaigiroku_ssp,hidakahokkaido
北海道,日高町議会,https://ssp.kaigiroku.net/tenant/hidakahokkaido/SpMinuteSearch.html,kaigiroku_ssp,hidakahokkaido
