tenant,keyword,meeting,date,hits_in_meeting,minute_url
muroran,ストーマ,令和　２年　第１回定例会一般会計予算審査特別委員会,03月17日－03号,2,https://ssp.kaigiroku.net/tenant/muroran/MinuteView.html?council_id=422&schedule_id=4&is_search=true
muroran,オストメイト,令和　５年　第１回定例会,03月03日－02号,1,https://ssp.kaigiroku.net/tenant/muroran/MinuteView.html?council_id=480&schedule_id=3&is_search=true
tomakomai,オストメイト,令和　８年　安全・安心及び市民文化ホールに関する特別委員会,06月18日－01号,2,https://ssp.kaigiroku.net/tenant/tomakomai/MinuteView.html?council_id=289&schedule_id=2&is_search=true
ashibetsu,ストーマ,平成３０年　第２回定例会,03月13日－03号,2,https://ssp.kaigiroku.net/tenant/ashibetsu/MinuteView.html?council_id=144&schedule_id=4&is_search=true
ashibetsu,オストメイト,令和元年　一般・各特別会計決算審査特別委員会会議録,11月13日－03号,2,https://ssp.kaigiroku.net/tenant/ashibetsu/MinuteView.html?council_id=314&schedule_id=3&is_search=true
chitose,ストーマ,令和　７年　第１回定例会,03月13日－05号,1,https://ssp.kaigiroku.net/tenant/chitose/MinuteView.html?council_id=561&schedule_id=6&is_search=true
chitose,オストメイト,令和　７年　第３回定例会,09月30日－03号,1,https://ssp.kaigiroku.net/tenant/chitose/MinuteView.html?council_id=572&schedule_id=4&is_search=true
noboribetsu,ストーマ,平成１８年度　決算審査特別委員会,10月16日－03号,1,https://ssp.kaigiroku.net/tenant/noboribetsu/MinuteView.html?council_id=200&schedule_id=4&is_search=true
noboribetsu,オストメイト,令和　４年　　第４回定例会,12月08日－05号,2,https://ssp.kaigiroku.net/tenant/noboribetsu/MinuteView.html?council_id=371&schedule_id=6&is_search=true
noboribetsu,オストメイト,令和　４年　　第３回定例会,09月15日－05号,2,
eniwa,オストメイト,令和　７年　　決算審査特別委員会,09月25日－02号,4,https://ssp.kaigiroku.net/tenant/eniwa/MinuteView.html?council_id=257&schedule_id=3&is_search=true
date,ストーマ,令和　３年　　予算決算常任委員会,09月21日－09号,1,https://ssp.kaigiroku.net/tenant/date/MinuteView.html?council_id=532&schedule_id=9&is_search=true
date,オストメイト,平成２０年　　３月定例会　資料,行政報告第１号,1,https://ssp.kaigiroku.net/tenant/date/MaterialList.html?council_id=198&schedule_id=37&is_search=true
kitahiroshima,ストーマ,令和　７年　　第４回　定例会,12月12日－03号,5,https://ssp.kaigiroku.net/tenant/kitahiroshima/MinuteView.html?council_id=528&schedule_id=4&is_search=true
